시설명,시설주소,경도,위도,시설종류상세명,동이름,일인가구비율,cctv개수,건물가점,파출소거리역수값,백미터반경주택수,sum,순위
영등포본동 아이랜드 (영등포1호점 우리동네키움센터),서울특별시 영등포구 신길로60길 31-2 (신길동),126.9137964,37.5135062,아동복지시설,영등포동,0.18328343799999997,0.067059276,0.017348952571428572,0.1622792479026293,0.396512018,0.8264829324740578,1
신길3동주민센터,   -   ,126.907744,37.507269,   -   ,영등포동,0.18328343799999997,0.089412368,0.034697905142857144,0.0011205679690621834,0.33530546488590607,0.6438197439978254,2
도림동자치회관,   -   ,126.908024,37.509951,   -   ,대림2동,0.08609047526141002,0.11176546000000001,0.034697905142857144,0.0027369868873963832,0.3512723917852349,0.5865632190768985,3
사르넬리지역아동센터,서울특별시 영등포구 대림로22길 40,126.9047708,37.4956363,아동복지시설,대림2동,0.08609047526141002,0.11176546000000001,0.017348952571428572,0.004372526230317496,0.32199969246979865,0.5415771065329548,4
남부장애인공동생활가정1호,서울특별시 영등포구 도신로48길 9-13501호 (신길동 다인주택)(신길동 다인주택),126.9135241,37.5104402,장애인거주시설,대림2동,0.08609047526141002,0.089412368,0.026023428857142858,0.0025128387164405994,0.3273220014362416,0.5313611122712352,5
푸른공부방지역아동센터,서울특별시 영등포구 양산로 138-1 (당산동1가),126.898287,37.5236074,아동복지시설,영등포동,0.18328343799999997,0.078235822,0.034697905142857144,0.004294742371465077,0.2261981310738255,0.5267100385881477,6
양평1동주민센터,   -   ,126.888228,37.523646,   -   ,영등포동,0.18328343799999997,0.033529638,0.052046857714285716,0.011401287004638435,0.24482621245637584,0.5250874331752999,7
대림1동주민센터,   -   ,126.905948,37.495462,   -   ,대림2동,0.08609047526141002,0.089412368,0.034697905142857144,0.002260981011353762,0.30337161108724836,0.5158333405028693,8
사회적협동조합 가가호호돌봄센터,서울특별시 영등포구 영등포로64길 311층 (신길동)(신길동),126.9137598,37.5121273,재가노인복지시설,대림2동,0.08609047526141002,0.044706184,0.008674476285714286,0.0022109545060859616,0.3725616276510067,0.514243717704217,9
어버이사랑노인의료복지센터1,서울특별시 영등포구 도림로318 4층 (신길동),126.9022562,37.5059569,노인의료복지시설,영등포동,0.18328343799999997,0.089412368,0.008674476285714286,0.0020758939771214173,0.2261981310738255,0.5096443073366612,10
신길1동주민센터,   -   ,126.921433,37.511118,   -   ,영등포동,0.18328343799999997,0.011176546,0.04337238142857142,0.0007496618951160017,0.24748736693959733,0.4860693942632847,11
우리집데이케어센터,서울특별시 영등포구 디지털로 398 (대림동)3층,126.90316,37.4921073,재가노인복지시설,영등포동,0.18328343799999997,0.055882730000000005,0.026023428857142858,0.004038165254153345,0.20757004969127518,0.47679781180257136,12
영등포종합사회복지관,서울특별시 영등포구 신길로13길 4 (신길동),126.9075628,37.4972751,일반사회복지시설,영등포동,0.18328343799999997,0.055882730000000005,0.034697905142857144,0.004363083727448199,0.19692543175838928,0.4751525886286946,13
신길종합사회복지관,서울특별시 영등포구 영등포로84길 24-5 (신길동),126.9214426,37.5111705,일반사회복지시설,영등포동,0.18328343799999997,0.011176546,0.034697905142857144,0.0007555657584215032,0.24482621245637584,0.4747396673576545,14
영등포구 다문화가족지원센터,서울특별시 영등포구 영등포로84길 24-54층 (신길동),126.9215106,37.5111621,다문화가족복지시설,영등포동,0.18328343799999997,0.011176546,0.034697905142857144,0.0007480470689533132,0.23152044004026845,0.4614263762520789,15
