시설명,시설주소,경도,위도,시설종류상세명,동이름,일인가구비율,cctv개수,건물가점,파출소거리역수값,백미터반경주택수
서울성모원,서울특별시 영등포구 대림로12가길 7-1,126.9046391,37.4914903,노인주거복지시설,영등포본동,0.19715184,5,1,0.099977,139
구립영등포노인케어센터,서울특별시 영등포구 도림로 482,126.890343,37.5168833,노인의료복지시설,대림2동,0.380264072,2,2,0.1329858,6
구립영등포노인종합복지관,서울특별시 영등포구 도림로 482,126.890343,37.5168833,노인여가복지시설,대림2동,0.380264072,2,2,0.1329858,6
구립영등포노인종합복지관병설데이케어센터,서울특별시 영등포구 도림로 482,126.890343,37.5168833,재가노인복지시설,대림2동,0.380264072,2,2,0.1329858,6
구립여의도원광데이케어센터,서울특별시 영등포구 여의대방로68길 15영창빌딩 3층,126.9328944,37.5179693,재가노인복지시설,대림2동,0.380264072,4,0,0.045181,4
서울성모원 노인요양공동생활가정,서울특별시 영등포구 대림로12가길 7-1,126.9046391,37.4914903,노인의료복지시설,영등포본동,0.19715184,5,1,0.099977,139
미래요양원2,서울특별시 영등포구 대림로 88재상빌딩 402호,126.9045686,37.4901201,노인의료복지시설,대림2동,0.380264072,6,3,0.114595,89
영등포재가노인복지센터,서울특별시 영등포구 대림로 884층 (대림동),126.8965096,37.502948,재가노인복지시설,영등포동,0.58699101,2,3,0.1900854,22
대림실버1 노인요양공동생활가정,서울특별시 영등포구 디지털로398 2층 (대림동 대성빌딩),126.90316,37.4921073,노인의료복지시설,대림2동,0.380264072,5,3,0.1549609,78
대림실버2노인요양공동생활가정,서울특별시 영등포구 디지털로398 5층 (대림동 대성빌딩),126.90316,37.4921073,노인의료복지시설,대림2동,0.380264072,5,3,0.1549609,78
대길홈케어센터,서울특별시 영등포구 영등포로 84길 24-143층 (신길동 대길사회복지재단),126.9215106,37.5111621,재가노인복지시설,대림2동,0.380264072,1,2,0.0655171,87
구립영등포노인케어센터 병설 엘림데이케어센터,서울특별시 영등포구 도림로 482구립영등포노인케어센터 1층 (문래동3가),126.890343,37.5168833,재가노인복지시설,대림2동,0.380264072,2,2,0.1329858,6
참노인요양원(공동생활가정),서울특별시 영등포구 가마산로 373주현빌딩 5층,126.8992159,37.5019551,노인의료복지시설,영등포동,0.58699101,0,3,0.230936,30
주현노인요양원,서울특별시 영등포구 가마산로 373주현빌딩 5층 (대림동),126.8992159,37.5019551,노인의료복지시설,영등포동,0.58699101,0,3,0.230936,30
우리집데이케어센터,서울특별시 영등포구 디지털로 398 (대림동)3층,126.90316,37.4921073,재가노인복지시설,영등포동,0.58699101,5,3,0.1549609,78
구립당산데이케어센터,서울특별시 영등포구 국회대로28길 17한얼빌딩 (당산동3가),126.8942868,37.5271291,재가노인복지시설,당산1동,0.359118612,0,0,0.1232507,0
미래요양원,서울특별시 영등포구 대림로 88재상빌딩 4층,126.9045686,37.4901201,노인의료복지시설,대림2동,0.380264072,6,4,0.114595,89
돈보스코 자립생활관,서울특별시 영등포구 여의대방로 65,126.9134322,37.4972751,아동복지시설,대림2동,0.380264072,0,1,0.0739229,1
돈보스코 오라토리오,서울특별시 영등포구 여의대방로 65 (구.신길6동 4491),126.9134322,37.4972751,아동복지시설,대림2동,0.380264072,0,1,0.0739229,1
영등포좋은나무지역아동센터,서울특별시 영등포구 양산로 90-1두선빌딩 2층 (당산동2가),126.8930938,37.5244058,아동복지시설,영등포동,0.58699101,0,4,0.1900429,8
디모데지역아동센터,서울특별시 영등포구 영등포로86길 17 (신길동),126.9231371,37.5113211,아동복지시설,대림2동,0.380264072,5,2,0.0608192,29
살레시오청소년센터,서울특별시 영등포구 디지털로 424 (대림동),126.905689,37.4939329,아동복지시설,대림2동,0.380264072,1,2,0.1179424,15
쪼물왕국지역아동센터,서울특별시 영등포구 선유로53길 34-14 (양평동4가),126.8956068,37.5388819,아동복지시설,영등포동,0.58699101,1,3,0.0971028,40
돈보스코지역아동복지센터,서울특별시 영등포구 여의대방로 65돈보스코센터 4층 아동복지센터,126.9134322,37.4972751,아동복지시설,대림2동,0.380264072,0,1,0.0739229,1
햇살가득지역아동센터,서울특별시 영등포구 도신로15라길 2 (도림동),126.897886,37.5070245,아동복지시설,영등포동,0.58699101,3,2,0.0984196,33
푸른공부방지역아동센터,서울특별시 영등포구 양산로 138-1 (당산동1가),126.898287,37.5236074,아동복지시설,영등포동,0.58699101,7,4,0.1619361,85
사르넬리지역아동센터,서울특별시 영등포구 대림로22길 40,126.9047708,37.4956363,아동복지시설,대림2동,0.380264072,10,2,0.1640507,121
마자렐로센터,서울특별시 영등포구 신길로 93 (신길동),126.9090277,37.5015235,아동복지시설,대림2동,0.380264072,0,1,0.166121,2
한믿음지역아동센터,서울특별시 영등포구 대방천로12길 5-2,126.9089117,37.4986121,아동복지시설,영등포동,0.58699101,3,3,0.2208709,37
두레민들레교실,서울특별시 영등포구 버드나루로14가길 14-0121-156,126.9095455,37.5265681,아동복지시설,대림2동,0.380264072,4,3,0.1048189,10
한울지역아동센터,서울특별시 영등포구 가마산로46가길 102층 (대림동),126.8990118,37.5004484,아동복지시설,영등포동,0.58699101,4,4,0.3502076,28
선유지역아동센터,서울특별시 영등포구 선유로24길 3-3,126.8907149,37.523095,아동복지시설,영등포본동,0.19715184,8,4,0.9587289,40
솔로몬지역아동센터,서울특별시 영등포구 양평로30가길 1919-0 2층,126.8909425,37.5428658,아동복지시설,영등포본동,0.19715184,8,3,0.0625153,34
두날개지역아동센터,서울특별시 영등포구 가마산로 333 유현빌딩 3층 (대림동),126.8962898,37.4994409,아동복지시설,대림2동,0.380264072,0,3,0.3647393,17
다사랑영등포지역아동센터,서울특별시 영등포구 신길로42길35 111동 903호 (신길동 삼성래미안아파트),126.9146247,37.5070804,아동복지시설,대림2동,0.380264072,0,1,0.0726343,53
조이드림지역아동센터,서울특별시 영등포구 당산로38길 9-3 (당산동4가),126.8994827,37.529232,아동복지시설,영등포동,0.58699101,6,1,0.1952123,0
구립푸르름지역아동센터,서울특별시 영등포구 영등포로64길 15 (신길동) 소통관 1층,126.9170873,37.5135545,아동복지시설,대림2동,0.380264072,0,2,0.108599,22
영등포구 장애인사랑나눔의 집,서울특별시 영등포구 신길로 55,126.9079776,37.4975222,장애인기타,영등포동,0.58699101,3,2,0.1707696,49
시립영등포장애인복지관,서울특별시 영등포구 버드나루로 22(영등포동2가),126.9129091,37.5208686,장애인지역사회재활시설,영등포동,0.58699101,2,2,0.1440513,0
모랫말꿈터,서울특별시 영등포구 도영로 37 (도림동),126.89716,37.5102435,장애인지역사회재활시설,대림2동,0.380264072,4,2,0.099886,68
성프란치스꼬민들레의집,서울특별시 영등포구 도신로 146-3 1층(신길동)101102호,126.9079206,37.5091991,장애인거주시설,영등포본동,0.19715184,5,2,0.1130672,88
영등포구주간보호센터,서울특별시 영등포구 신길로 553층,126.912014,37.5178508,장애인지역사회재활시설,영등포동,0.58699101,4,3,0.2365138,13
남부장애인공동생활가정1호,서울특별시 영등포구 도신로48길 9-13501호 (신길동 다인주택)(신길동 다인주택),126.9135241,37.5104402,장애인거주시설,대림2동,0.380264072,8,3,0.113494,123
남부장애인공동생활가정2호,서울특별시 영등포구 영신로17길 16-016(영등포동 401호),126.9066138,37.513494,장애인거주시설,대림2동,0.380264072,11,4,0.1186812,69
새생명장애인주간보호소,서울특별시 영등포구 도림로 310-1301 (신길동),126.902255,37.5052631,장애인지역사회재활시설,영등포본동,0.19715184,0,2,0.1002027,47
영등포구수어통역센터,서울특별시 영등포구 경인로112길 132층 (영등포동1가),126.9155911,37.5176765,장애인지역사회재활시설,영등포동,0.58699101,0,1,0.1320982,16
리드릭,서울특별시 영등포구 양산로 96양산로 96 산경물산(당산동2가),126.8935358,37.52359,장애인직업재활시설,대림2동,0.380264072,3,4,0.1410999,14
임마누엘영등포공동체,서울특별시 영등포구 영신로8길 9201호 (영등포동),126.910438,37.5134302,장애인거주시설,영등포동,0.58699101,0,3,0.3067415,81
성락주간보호,서울특별시 영등포구 도림로 3042층,126.8910096,37.5108256,장애인지역사회재활시설,영등포본동,0.19715184,4,1,0.1480625,0
행복한나무,서울특별시 영등포구 양산로 96 양산로 96 산경물산 A30호(당산동2가),126.8935358,37.52359,장애인직업재활시설,신길1동,0.380264072,3,5,0.1410999,14
라피드보호작업장,서울특별시 영등포구 영신로40길16 2층 (영등포동6가),126.9030305,37.5210565,장애인직업재활시설,대림2동,0.380264072,4,3,0.1378372,24
꿈친장애인주간보호센터,서울특별시 영등포구 은행로 55 1층 (여의도동),126.9241971,37.5304598,장애인지역사회재활시설,대림2동,0.380264072,0,0,0.2770045,1
Vine Center,서울특별시 영등포구 양평로12가길 8 (당산동6가),126.900249,37.5363753,한부모가족복지시설,당산6동,0.380264072,2,1,0.2672724,1
옹달샘드롭인센터,서울특별시 영등포구 경인로94길 6 (문래동1가),126.9026105,37.5142047,노숙인등이용시설,영등포동,0.58699101,5,1,0.2253984,7
광야홈리스센터,서울특별시 영등포구 경인로100길 3 (영등포동),126.9052733,37.5154368,노숙인등생활시설,영등포동,0.58699101,10,2,0.1106911,10
햇살보금자리,서울특별시 영등포구 국회대로54길 41-16 (영등포동2가),126.9104705,37.5220895,노숙인등이용시설,영등포동,0.58699101,5,4,0.1113622,14
